ensembl_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,treatment,baseMean_ref,log2FoldChange_ref,lfcSE_ref,pvalue_ref,padj_ref,gene_ref,treatment_ref,significance
ENSMUSG00000069662,158.10293806627098,2.5990117208373515,0.1632849496778505,2.8169163572003427e-58,3.1028333674561775e-54,Marcks,virus,158.10293806627098,1.9959973605931092,0.16100936110868416,1.515511020396183e-36,6.1827236628385025e-34,Marcks,recombinant,both
ENSMUSG00000041515,542.8176820711042,-1.8889232895355077,0.12447035469797534,7.770837903177865e-54,4.279788975175209e-50,Irf8,virus,542.8176820711042,-1.9851046908550822,0.1527599734085062,7.546879237452677e-40,4.375203936870592e-37,Irf8,recombinant,both
ENSMUSG00000024789,1266.6523473018603,0.9975925513320112,0.0724272452477967,3.8088070116409446e-44,1.3984669744408334e-40,Jak2,virus,1266.6523473018603,1.4425570301193074,0.07291307396162762,8.410991294898766e-88,2.3161767278327475e-84,Jak2,recombinant,both
ENSMUSG00000015619,254.22946038811313,1.5489642236911858,0.1242262757647901,2.080474592827154e-37,5.729106909997775e-34,Gata3,virus,254.22946038811313,2.7289397569079124,0.1262134997698285,9.654733513462802e-106,5.317344482539638e-102,Gata3,recombinant,both
ENSMUSG00000022912,153.5271747101253,2.9617907959987506,0.28701160084460975,3.0263910363612416e-26,6.667139453103816e-23,Pros1,virus,153.5271747101253,3.6155645420974545,0.29039538503263157,1.9011738485763226e-37,9.518831791849179e-35,Pros1,recombinant,both
ENSMUSG00000059588,134.2855052398509,1.7764076977381318,0.18129551547476158,1.6665780353427525e-24,2.648945284849563e-21,Calcrl,virus,134.2855052398509,2.8681350796900182,0.1747069727835655,1.1432886505886375e-62,1.3992582762482046e-59,Calcrl,recombinant,both
ENSMUSG00000027765,47.951487044914714,2.772861911726759,0.27936330653004054,1.6833969127505164e-24,2.648945284849563e-21,P2ry1,virus,47.951487044914714,3.4368285372575333,0.28395898493365573,1.0942598503032819e-35,4.017757417030217e-33,P2ry1,recombinant,both
ENSMUSG00000023927,1384.0708421783545,0.8500621614579077,0.08741678251313871,3.8012766325811715e-23,5.233882763485201e-20,Satb1,virus,1384.0708421783545,1.3612629920181223,0.08582021847633663,2.3009633705126864e-57,2.304101047836113e-54,Satb1,recombinant,both
ENSMUSG00000054693,768.5684664235212,0.6496215277903362,0.07504496069126562,7.388151158067473e-19,9.042276111790358e-16,Adam10,virus,768.5684664235212,0.7104256250511689,0.07715242775953321,9.521055390466253e-22,1.7479070854330965e-19,Adam10,recombinant,both
ENSMUSG00000031441,99.81049591544704,1.3769380024023954,0.1632938552343623,9.99191381778059e-19,1.1006093070285318e-15,Atp11a,virus,99.81049591544704,1.43498244182944,0.17004155168416707,4.904660383087682e-18,6.281957455780328e-16,Atp11a,recombinant,both
ENSMUSG00000014599,83.4485921550281,2.8132399275847315,0.333010160288021,1.3652838406089726e-18,1.3671455913007123e-15,Csf1,virus,83.4485921550281,4.301089745628308,0.3448270174359183,3.5777035030411314e-37,1.6420168369165858e-34,Csf1,recombinant,both
ENSMUSG00000036067,38.259031472386106,2.3316218449772452,0.2802847888499396,2.4699535291149173e-18,2.2672115102667345e-15,Slc2a6,virus,38.259031472386106,2.5441681547074055,0.2736255007578342,1.7681685523418317e-22,3.357995966214703e-20,Slc2a6,recombinant,both
ENSMUSG00000004612,89.5203860567156,-1.7228994441865753,0.2138849568789027,1.1930147921317504e-17,1.0108506104100947e-14,Nkg7,virus,89.5203860567156,-3.263667453420374,0.3368205501412921,2.914293625525676e-24,6.687696726076108e-22,Nkg7,recombinant,both
ENSMUSG00000017144,29.672239003285064,4.220153098943873,0.5369010684188716,2.875253308672057e-17,2.262208228215908e-14,Rnd3,virus,29.672239003285064,5.070438934529592,0.5517152174395813,1.7985929885674773e-21,3.144682820487423e-19,Rnd3,recombinant,both
ENSMUSG00000090272,431.1801101720569,-0.7263988048054045,0.09022261050959439,1.4301060437713258e-16,1.0501745381427437e-13,Mndal,virus,431.1801101720569,-1.904163058910177,0.10822562459531067,2.0395302319137347e-70,4.493085100905958e-67,Mndal,recombinant,both
ENSMUSG00000031239,2458.34590180968,-0.6780659690601033,0.08509292507274052,2.5141444256635313e-16,1.7308313030427373e-13,Itm2a,virus,2458.34590180968,-1.4498172464971837,0.08631948046493873,5.310805272573671e-64,8.356931439628427e-61,Itm2a,recombinant,both
ENSMUSG00000036256,681.2919015931288,-0.652691062026564,0.08374746588905309,8.886148457598172e-16,5.757701485908463e-13,Igfbp7,virus,681.2919015931288,-2.062763962165158,0.09770948861605724,2.8256358018500756e-100,1.037479278579286e-96,Igfbp7,recombinant,both
ENSMUSG00000027030,450.19539072825546,-0.7004380439646326,0.09628917209502273,5.2256938496985404e-14,3.1978343196905235e-11,Stk39,virus,450.19539072825546,-0.9459138161374314,0.10593346876357981,7.092890697193913e-21,1.1837604701453176e-18,Stk39,recombinant,both
ENSMUSG00000047898,63.84744965734233,1.462964953677037,0.21143445968586186,1.0558070470774685e-13,6.120902433451744e-11,Ccr4,virus,63.84744965734233,1.672675660117638,0.2028365275332897,2.0384476798366748e-17,2.4948334659334415e-15,Ccr4,recombinant,both
