ensembl_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene
ENSMUSG00000102135,8.45756712293016,-1.624907105986734e-5,0.002892607301724301,0.2811322009424474,1,Gm37108
ENSMUSG00000051285,26.56807372699475,9.829367882137238e-6,0.0028925035946948804,0.7325289295403018,1,Pcmtd1
ENSMUSG00000039748,232.40066319077394,2.4999404377285345e-5,0.00289145609794731,0.7631181989188269,1,Exo1
ENSMUSG00000057363,114.84416905370107,-6.687756556565829e-5,0.002892029567140523,0.26286303570365377,1,Uxs1
ENSMUSG00000038702,16.87459770861513,-2.917326527968543e-6,0.00289255435099472,0.8995004497323529,1,Dsel
ENSMUSG00000078184,42.74771916629453,-2.7887172873078824e-5,0.002892449232532135,0.4091604593365143,1,Rbm8a2
ENSMUSG00000061024,490.16364579665594,-6.175006593669363e-5,0.002891367320049295,0.472646205709695,1,Rrs1
ENSMUSG00000057335,89.44303747014749,-2.2029827287107964e-5,0.0028922713499253782,0.636289442042673,1,Cep170
ENSMUSG00000025912,19.41388806010606,-7.776522917456762e-6,0.0028925660297124717,0.7186802721986361,1,Mybl1
ENSMUSG00000045210,139.8540212152492,-4.4548041623988626e-5,0.0028919221963327143,0.4912277996670823,1,Vcpip1
ENSMUSG00000041763,542.1885515667672,2.3652088020216465e-7,0.0028899658204754714,0.9984828797594794,1,Tpp2
ENSMUSG00000026504,24.698541924471055,-4.493955757218973e-5,0.0028924957769637222,0.12813447724691732,1,Sdccag8
ENSMUSG00000091844,7.606747661198901,1.5828276924895692e-5,0.002892601522713119,0.32696103193990306,1,Ccdc168
ENSMUSG00000026483,73.90413634227728,1.9022752151349774e-5,0.0028922923868158522,0.6742732330686906,1,Niban1
ENSMUSG00000019699,37.39415830661234,-7.624592469416141e-6,0.0028924397081723035,0.8255526248366335,1,Akt3
ENSMUSG00000063659,17.786530673663137,-4.2435833633225034e-5,0.0028925388543779174,0.08916231887956437,1,Zbtb18
ENSMUSG00000026049,466.12682092279425,1.4297962186923687e-5,0.0028911389279684197,0.8782451760890021,1,Tex30
ENSMUSG00000043019,35.250191164197034,3.242299696468856e-5,0.002892480619979449,0.29536943380385217,1,Edem3
ENSMUSG00000032666,107.15197037595819,4.195583458023875e-5,0.002892236309545376,0.38906116722511186,1,1700025G04Rik
ENSMUSG00000015961,1216.6274635890527,-1.5902788827052484e-5,0.0028896702042368713,0.9034171595806122,1,Adss2
ENSMUSG00000014980,143.52414382695608,2.7822126632670654e-5,0.002892012714399913,0.6458308325517708,1,Tsen15
ENSMUSG00000026047,103.54032494253062,2.650847592763895e-5,0.002892209020446356,0.598219734971047,1,Poglut2
ENSMUSG00000041684,62.0956508186797,-8.133432454675478e-6,0.002892380232655522,0.8358397578596753,1,Bivm
ENSMUSG00000026502,386.58457286910254,-9.460411246483763e-5,0.002890946079144838,0.33982989627157756,1,Desi2
ENSMUSG00000026500,146.59867539365976,1.7975042416594424e-5,0.002891908909777589,0.7831321278139941,1,Cox20
ENSMUSG00000026048,130.674976742869,-1.230670227360948e-5,0.002891978026326797,0.843092420819419,1,Ercc5
ENSMUSG00000026245,714.0622727071279,-7.478473431428041e-5,0.0028912388406607398,0.406999636571348,1,Farsb
ENSMUSG00000104018,4.713467664352703,-8.437802276328756e-7,0.002892616658598595,0.9488747142837031,1,4833412K13Rik
ENSMUSG00000026482,8.37933319247217,2.5329236520653344e-6,0.0028925899927086172,0.888676302722342,1,Rgl1
ENSMUSG00000008475,1848.7526697273686,4.932070498143643e-5,0.002887890207335453,0.7657528407460327,1,Arpc5
ENSMUSG00000039630,5456.285763618191,4.6373283030997874e-5,0.002884356764609049,0.8317050491211853,1,Hnrnpu
ENSMUSG00000026495,22.14873397219841,-3.4996235326762446e-5,0.0028925335158972204,0.17120552962513114,1,Efcab2
ENSMUSG00000032883,191.16462752906247,-1.2169626614020984e-4,0.002891667133318403,0.10580170197702352,1,Acsl3
ENSMUSG00000026480,15.906352018719934,-1.4438463854347993e-5,0.002892558679876717,0.5220096262791021,1,Ncf2
ENSMUSG00000025915,29.226543971355444,-1.1584567988059617e-5,0.00289248006145797,0.708961453319505,1,Sgk3
ENSMUSG00000079470,50.059193635624666,2.6615763704512436e-5,0.0028923813979595857,0.49676703732694827,1,Utp14b
ENSMUSG00000055067,66.05436655328172,3.0477149576016493e-5,0.002892276661488843,0.5099586011444663,1,Smyd3
ENSMUSG00000054702,89.88743049220486,8.098346255004152e-5,0.002892247747891396,0.0917589602937346,1,Ap1s3
ENSMUSG00000026492,43.786178900846515,-9.92379193647766e-6,0.002892401738851182,0.792012118691735,1,Tfb2m
ENSMUSG00000038949,51.016101892076804,-7.4502537676518284e-6,0.002892389296144156,0.8468604978424783,1,Cnst
ENSMUSG00000038936,22.181495224467717,4.39675325720083e-5,0.0028925471483836804,0.06677945242637524,1,Sccpdh
ENSMUSG00000042772,318.7881432678492,-2.4163811261245653e-5,0.0028913664125001684,0.7787593905022009,1,Smg7
ENSMUSG00000100394,6.947749365671339,5.201286436577896e-6,0.002892605486017257,0.7358988504707027,1,Gm28791
ENSMUSG00000073643,20.32462776419249,3.312488434602325e-5,0.0028925513567666598,0.15816473490313537,1,Wdfy1
ENSMUSG00000026248,347.23849638575433,-6.632971926902169e-6,0.0028913053159413866,0.9399424685068292,1,Mrpl44
ENSMUSG00000026249,162.47519326600198,-1.2287441707726738e-5,0.0028925557948365046,0.5918608336370133,1,Serpine2
ENSMUSG00000043230,12.041332754128645,1.097190269782756e-6,0.002892583927293492,0.9540464817295298,1,Fam124b
ENSMUSG00000026491,273.74094667534143,-3.1595584871517135e-5,0.002891426178890181,0.7067549859281119,1,Ahctf1
ENSMUSG00000025917,644.9982845396067,1.9953160695664268e-5,0.0028902032046790034,0.8665825820056021,1,Cops5
ENSMUSG00000026479,3.099141277122684,-1.0393442087753041e-5,0.002892640737484788,0.07412220160126076,1,Lamc2
ENSMUSG00000004364,709.1815684276294,-4.0753412074723046e-6,0.002890201982882651,0.9726340575897067,1,Cul3
ENSMUSG00000026478,25.3180066136744,-1.1204064034416802e-5,0.0028925177725352296,0.6814857005119532,1,Lamc1
ENSMUSG00000042699,605.8314646166434,-2.3793361727375743e-4,0.0028904306234643668,0.0354285086495452,1,Dhx9
ENSMUSG00000025986,170.68597446959956,2.9864875009288473e-5,0.0028918286210209737,0.6640758829432778,1,Slc39a10
ENSMUSG00000056763,68.88589096839087,-6.138330681103359e-5,0.002892262687494087,0.1926735678797927,1,Cspp1
ENSMUSG00000026475,245.79044578216377,-8.324831650539184e-6,0.0028919738234736616,0.8938162185225624,1,Rgs16
ENSMUSG00000066800,46.53567516261577,-1.5750027757149132e-5,0.0028924112855723103,0.6694381203351383,1,Rnasel
ENSMUSG00000067851,365.4975308690261,-3.736234557046893e-5,0.0028911412140555782,0.6887008640349372,1,Arfgef1
ENSMUSG00000038608,191.57213436985097,8.824503900607012e-6,0.0028916844264791582,0.9058086877929655,1,Dock10
ENSMUSG00000104488,7.423301545668958,8.46776021632307e-6,0.0028925978841815147,0.6139477208601081,1,Gm38062
ENSMUSG00000026107,485.4829061219682,8.522000224034447e-5,0.002891399866821849,0.31538555304980354,1,Nabp1
ENSMUSG00000026473,133.85302598275808,8.259324360263943e-5,0.0028919296987785343,0.19953093679329803,1,Glul
ENSMUSG00000056708,393.29324150629583,-4.102607186823257e-5,0.0028916953330147383,0.5800879078953869,1,Ier5
ENSMUSG00000026471,22.008537342707584,2.2461702538845397e-5,0.0028925396270473966,0.3665355335532666,1,Mr1
ENSMUSG00000026470,524.2769410142174,-4.128417852980845e-5,0.0028908783541494653,0.682913202720796,1,Stx6
ENSMUSG00000026150,415.8440893459927,3.6559539992903006e-5,0.0028908415169101483,0.7203148041011342,1,Mff
ENSMUSG00000026469,109.50460640732503,3.7927375373423294e-05,0.002892043054513846,0.5208576563095788,1,Xpr1
