gene,FC,neg_log_10_padj,padj
Ly6a,2.971,5.313,4.86E-06
Vars,2.409,4.837,1.46E-05
Samsn1,1.692,4.569,2.70E-05
Akt2,2.312,4.271,5.36E-05
Clic4,2.778,4.257,5.53E-05
Igfbp4,3.301,4.188,6.49E-05
B430306N03Rik,4.514,4.104,7.87E-05
Ctsa,1.837,4.088,8.17E-05
Taf4b,2.947,3.888,0.00012942
Ssbp4,2.624,3.887,0.000129718
Skap2,7.164,3.884,0.000130617
Zbp1,2.254,3.866,0.000136144
Ndrg3,3.002,3.705,0.000197242
Gbp2,4.295,3.565,0.00027227
Map3k5,2.999,3.558,0.000276694
Pgs1,1.27,3.399,0.000399025
Trim30a,1.71,3.381,0.000415911
Gm17089,10.723,3.259,0.000550808
Mcam,6.741,3.229,0.000590201
Tsc22d3,1.727,3.195,0.000638263
Oas2,3.086,3.188,0.000648634
Rab10,1.844,3.123,0.000753356
Flot1,3.677,3.079,0.000833681
Tsr1,1.763,3.076,0.00083946
Hdac6,4.805,3.058,0.000874984
Cd55,0.746,3.024,0.000946237
Ptpn1,1.366,2.946,0.0011324
Elovl6,2.875,2.938,0.001153453
Serpinb1a,13.222,2.881,0.001315225
Neb,3.222,2.852,0.001406048
Nop58,1.568,2.836,0.001458814
Usp5,0.841,2.78,0.001659587
Ppa1,2.647,2.749,0.001782379
Glrx,0.502,2.69,0.002041738
Jak3,2.539,2.632,0.002333458
Ube2d3,1.616,2.613,0.002437811
Etv6,8.317,2.59,0.002570396
Cltb,1.84,2.572,0.002679168
Abi3,1.707,2.567,0.002710192
Ablim1,1.221,2.547,0.002837919
Tes,0.736,2.496,0.003191538
Tha1,2.128,2.448,0.003564511
Vwa5a,2.858,2.344,0.004528976
Il15ra,2.95,2.328,0.004698941
Nipa2,1.469,2.323,0.004753352
Gadd45g,6.791,2.288,0.005152286
Smc4,0.639,2.284,0.00519996
St3gal4,0.555,2.282,0.005223962
Parp14,1.836,2.261,0.00548277
Notch1,1.438,2.255,0.005559043
Evi2a,1.462,2.218,0.006053409
Bcl3,2.391,2.157,0.006966265
Rrp12,1.81,2.146,0.007144963
Sbno2,1.786,2.114,0.007691304
Ets1,0.864,2.108,0.007798301
Usp14,1.59,2.097,0.007998343
Stat3,1.883,2.087,0.008184648
Ccr5,11.607,2.075,0.008413951
Atp11a,0.643,2.061,0.008689604
Mettl1,1.867,1.988,0.010280163
Ethe1,0.598,1.969,0.010739894
Aars,1.888,1.951,0.011194379
Nampt,1.737,1.911,0.012274392
Rbm47,2.743,1.906,0.012416523
Eif2b3,1.484,1.878,0.013243415
Lamp2,2.248,1.87,0.013489629
Yars,1.656,1.816,0.015275661
Slc17a9,0.695,1.808,0.015559656
Atxn10,0.696,1.799,0.015885467
Wdr7,1.652,1.787,0.016330519
Degs1,0.616,1.775,0.01678804
Apobec3,2.031,1.764,0.017218686
Nfkbia,0.747,1.746,0.017947336
Syne1,0.622,1.735,0.01840772
Casp4,3.69,1.729,0.018663797
Ggct,1.364,1.709,0.019543395
Mettl9,1.294,1.705,0.019724227
Slc7a5,2.016,1.704,0.019769696
Fkbp5,1.481,1.704,0.019769696
Prtn3,2.331,1.666,0.021577444
Hdac4,1.437,1.591,0.02564484
B4galt1,0.728,1.517,0.03040885
Cyfip2,1.225,1.494,0.032062693
Fam217b,0.406,1.488,0.03250873
Tnip2,1.494,1.484,0.032809529
Dusp16,2.281,1.451,0.035399734
Hsd17b12,1.369,1.45,0.035481339
Socs3,2.613,1.444,0.035974934
Ggt5,1.488,1.429,0.037239171
Cpne8,0.416,1.424,0.03767038
Ripor2,0.908,1.421,0.037931498
Ikbke,0.534,1.419,0.038106582
Nop2,1.313,1.416,0.038370725
Ppan,1.214,1.404,0.03944573
Ftsj3,1.421,1.386,0.041114972
Utp4,1.168,1.374,0.042266861
Inafm1,1.896,1.369,0.042756289
Pprc1,1.389,1.36,0.043651583
Nolc1,1.416,1.344,0.045289758
Gm7240,2.25,1.339,0.045814189
Cpne3,1.379,1.328,0.046989411
Vcl,1.623,1.328,0.046989411
Tram2,0.61,1.309,0.049090788
Crispld2,2.041,1.306,0.049431069
Arhgdib,0.87,1.304,0.049659232
Nlrc5,1.526,1.283,0.052119471
Timm9,1.56,1.265,0.054325033
Abca13,1.778,1.264,0.054450265
Slc12a7,0.703,1.248,0.056493697
Tra2b,1.11,1.238,0.057809605
Exoc2,0.818,1.235,0.058210322
Timm10,1.447,1.231,0.058748935
Slc7a1,1.406,1.214,0.061094202
Il4ra,1.17,1.181,0.06591739
Ptpn12,0.561,1.181,0.06591739
Mob3c,1.361,1.178,0.066374307
Gtpbp4,1.156,1.171,0.067452803
Bop1,1.18,1.171,0.067452803
Mphosph10,1.227,1.17,0.067608298
Aen,1.38,1.159,0.069342581
Myd88,1.237,1.154,0.07014553
Htt,1.216,1.153,0.070307232
Vcam1,0.236,1.152,0.070469307
Eif1a,1.482,1.149,0.070957777
Pus7l,1.314,1.147,0.071285303
Clec4n,0.637,1.137,0.072945751
Nxpe5,0.389,1.124,0.075162289
Gnl3,1.643,1.108,0.077983011
Pnpla1,0.258,1.107,0.07816278
Tmem268,0.647,1.091,0.081096106
Rrp9,1.396,1.076,0.083945999
Usp36,1.312,1.065,0.086099375
Gm49838,4.167,1.053,0.088511561
Hsd11b1,0.714,1.047,0.089742879
Cemip2,2.262,1.047,0.089742879
Jun,1.584,1.035,0.092257143
Tcf7l2,0.42,1.029,0.093540567
Dis3,2.102,1.025,0.094406088
1600014C10Rik,1.387,1.024,0.094623716
Nf1,1.524,1.012,0.097274722
Ndufv2,0.881,1.011,0.097498964
Tnfrsf1a,0.842,1.001,0.099770006
Ercc8,0.703,0.993,0.101624869
Srm,1.496,0.992,0.101859139
D16Ertd472e,0.871,0.98,0.104712855
Ralgps1,0.567,0.978,0.105196187
Slc16a6,0.842,0.97,0.107151931
Filip1l,0.677,0.961,0.109395637
Smn1,0.741,0.956,0.110662378
Prdx6,0.854,0.932,0.116949939
Dusp2,1.377,0.927,0.118304156
Napb,0.259,0.918,0.120781384
BE692007,0.77,0.918,0.120781384
Grwd1,1.3,0.917,0.121059813
Msmo1,1.279,0.916,0.121338885
Tcea1,1.346,0.898,0.126473635
Sema6b,0.37,0.885,0.130316678
Gm42467,1.252,0.878,0.132434154
N6amt1,1.188,0.877,0.132739446
Baz1a,1.289,0.865,0.136458314
Tlr2,1.705,0.861,0.137720947
Cytip,1.219,0.859,0.138356638
Ms4a6d,1.646,0.852,0.140604752
Itga2b,0.286,0.849,0.141579378
Tmem39a,0.783,0.839,0.144877185
Ap2a2,0.832,0.83,0.147910839
Birc2,1.324,0.825,0.149623566
4933412E12Rik,1.495,0.823,0.150314197
Cers6,0.683,0.821,0.151008015
Tma16,0.754,0.815,0.153108746
Rtn4ip1,1.34,0.809,0.155238701
Prkx,0.751,0.806,0.156314764
Clcn5,1.488,0.789,0.162554876
Rpe,1.277,0.785,0.164058977
Orc2,1.142,0.784,0.164437172
Sp140,1.255,0.776,0.167494288
Bysl,1.303,0.775,0.167880402
Morrbid,1.452,0.773,0.168655303
Phf11c,1.246,0.766,0.171395731
Xdh,0.561,0.764,0.172186857
Yif1b,1.125,0.76,0.173780083
Tnfrsf11a,1.534,0.754,0.176197605
Mt2,0.744,0.75,0.177827941
Ccdc86,1.329,0.747,0.179060585
B4galt6,0.707,0.746,0.179473363
Rcl1,1.4,0.746,0.179473363
Ifi204,0.532,0.744,0.180301774
Usp10,1.15,0.739,0.18238957
Ran,1.119,0.737,0.183231442
